dbn,beds
26Q098,342600010098
30Q389,
02M475,310200011475
02M527,310200010527
02M124,310200010124
02M260,310200010260
06M366,310600010366
25Q029,342500010029
84K182,331400861024
28Q050,342800010050
31R031,353100010031
84R067,353100860959
17K375,331700010375
28Q303,342800010303
10X477,321000011477
13K594,331600011594
30Q111,343000010111
02M419,310200011419
79X996,
75Q404,
03M166,310300010166
84K707,331500860935
18K617,331800011617
20K971,332000010971
27Q314,342700010314
84K626,332300860912
18K629,331800011629
11X544,321100011544
09X568,320900010568
84X553,321000860704
27Q261,342700011261
24Q585,342400011585
79M607,
20K200,332000010200
12X211,321200010211
75K036,307500013036
15K039,331500010039
31R026,353100010026
20K180,332000010180
84K486,331500861016
14K318,331400010318
08X301,320800010301
84X364,320700861035
75K053,307500013053
79M984,
22K195,332200010195
02M414,310200010414
19K346,331900010346
14K084,331400010084
31R057,353100010057
10X368,321000010368
04M096,310400010096
21K215,332100010215
06M311,310600010311
75K372,307500013372
14K018,331400010018
19K659,331900011659
07X049,320700010049
17K181,331700010181
09X443,320900010443
22K535,332200011535
02M399,310200011399
01M142,310100010142
02M116,310200010116
28Q325,342800011325
04M072,310400010072
28Q048,342800010048
28Q121,342800010121
18K211,331800010211
84M186,310300861034
19K615,331900011615
25Q154,342500010154
02M316,310200011316
21K226,332100010226
84X200,321200861010
18K576,331800011576
02M397,310200010397
16K025,331600010025
09X404,320900011404
11X068,321100010068
22K052,332200010052
03M862,310300010862
30Q291,343000010291
06M468,310600011468
17K353,331700010353
84K593,331600860860
11X481,321100010481
84X380,320800861044
12X067,321200010067
02M412,310200010412
24Q016,342400010016
02M615,310200011615
02M104,310200010104
06M349,310600010349
01M110,310100010110
18K366,331800010366
10X284,321000011284
27Q104,342700010104
10X085,321000010085
14K071,331400011071
15K146,331500010146
84K781,332200861076
07X584,320700010584
84X587,321200861108
10X264,321000011264
24Q290,342400010290
21K348,332100011348
17K241,331700010241
31R005,353100010005
28Q686,342800011686
05M036,310500010036
12X217,321200010217
22K312,332200010312
20K030,332000010030
13K595,331300011595
04M206,310400010206
09X114,320900010114
13K093,331300010093
14K558,331400011558
27Q308,342700011308
09X241,320900011241
19K013,331900010013
84K758,331500861011
11X529,321100010529
19K660,331900011660
28Q080,342800010080
17K547,331700011547
18K066,331800010066
75M094,307500011094
79X607,
32K403,333200011403
31R024,353100010024
